Price,Living.Area,Bathrooms,Bedrooms,Fireplaces,pool,Garage_spaces,Lot.Size,Age
140238,1322,1,3,FALSE,1,1,1,130
109999,1218,1.5,3,TRUE,1,0,1.43,0
174208,2372,2,3,TRUE,0,2,0.44,2
101230,1032,1,2,TRUE,0,1,0.12,23
120476,1120,2,3,FALSE,0,1,0.73,7
112509,1138,1,3,FALSE,1,1,0.14,98
103262,1176,1.5,2,FALSE,0,2,0.22,31
153590,1820,1.5,4,TRUE,0,2,0.34,45
184315,2152,2.5,3,FALSE,0,2,0.3,8
106117,1480,1.5,3,FALSE,0,0,0.08,21
90678,957,1,3,FALSE,1,1,0.18,49
145663,1666,2.5,3,TRUE,0,1,0.2,1
111394,1272,1.5,3,FALSE,1,0,0.34,1
152404,1508,2,3,TRUE,0,2,0.33,16
136499,1152,1,3,FALSE,1,1,0.8,36
65325,813,1,2,FALSE,1,1,0.39,68
110234,1652,1.5,3,TRUE,1,1,0.38,105
143697,1376,1.5,3,TRUE,0,1,0.53,14
69876,976,2,2,FALSE,1,0,0.34,21
163781,1124,1,3,FALSE,0,1,0.45,26
163728,1811,2.5,3,TRUE,1,2,0.46,19
104984,1096,1,3,FALSE,0,1,0.3,67
191746,1666,1,3,FALSE,0,1,0.18,140
228904,1824,2.5,3,TRUE,0,2,0.18,11
161923,1456,2,3,TRUE,0,0,0.75,1
325262,3496,2.5,4,TRUE,1,3,1.94,7
209371,2076,2.5,3,TRUE,1,2,0.62,13
298549,2310,3,2,TRUE,0,1,0.25,23
140701,1554,2,2,TRUE,1,1,0.53,20
244124,2346,2.5,4,TRUE,0,2,0.35,0
107411,840,1,2,FALSE,0,1,0.21,2
150581,1664,2,3,TRUE,0,2,0.49,33
118409,1227,2,2,TRUE,0,0,0.12,19
124367,1272,1.5,3,FALSE,0,0,0.34,1
112153,1834,2,4,FALSE,1,2,0.43,65
287360,3133,3,4,TRUE,0,2,0.5,1
57678,924,1,1,FALSE,1,0,0.17,104
136203,1479,1.5,2,TRUE,0,1,0.06,20
101708,1492,2.5,3,FALSE,0,1,0.17,16
146981,1832,1.5,3,TRUE,0,1,0.67,30
116589,1322,1,3,FALSE,0,1,0.67,63
279522,2000,2.5,3,TRUE,0,3,0.39,4
173446,2124,2.5,3,TRUE,1,1,0.14,0
308218,3597,2.5,4,TRUE,1,3,0.51,0
114238,1164,2,3,FALSE,0,1,0.64,7
50483,743,1,3,FALSE,0,0,0.05,105
124939,1099,1,2,FALSE,1,1,0.39,9
146626,1561,1.5,3,FALSE,0,1,0.33,18
121680,1412,1.5,3,FALSE,0,0,0.35,103
31113,1540,1,2,FALSE,0,0,0.04,115
432845,3250,2.5,3,TRUE,0,2,0.53,23
107743,1184,1.5,2,FALSE,0,1,0.16,18
233155,3236,2.5,4,TRUE,1,4,2.5,0
230708,2548,2.5,3,TRUE,0,2,0.36,3
152112,1512,2.5,3,TRUE,0,1,0.36,18
366772,3200,2.5,4,TRUE,0,2,1.27,1
111702,878,1,2,FALSE,0,1,0.14,28
379472,3440,4,5,TRUE,0,3,0.77,1
152466,1600,2,4,FALSE,0,1,0.46,35
135823,1946,1.5,4,FALSE,0,2,0.38,18
124013,1524,1.5,3,FALSE,0,1,0.71,180
198622,2024,2,3,TRUE,0,2,1.55,25
131411,1512,1.5,3,TRUE,0,1,0.05,13
181399,1842,1.5,3,FALSE,0,2,0.53,8
127740,1480,2.5,3,TRUE,0,0,0.03,16
263938,2641,2.5,4,TRUE,0,3,0.34,3
130757,1394,1,4,FALSE,1,0,0.46,33
218475,2748,2.5,4,TRUE,0,3,0.17,0
262461,2505,2.5,4,TRUE,0,2,0.03,1
328491,2733,2.5,4,TRUE,1,3,0.47,3
173639,1910,2.5,4,TRUE,1,1,0.37,18
159786,1561,1.5,3,TRUE,0,1,0.32,16
198622,1616,2,2,TRUE,1,1,1,36
122229,1404,2,3,FALSE,0,1,0.68,72
137540,1551,1,4,FALSE,1,1,1.95,97
158338,1836,2.5,3,TRUE,0,2,1,15
152491,1875,2.5,4,TRUE,0,2,0.71,31
92932,988,2,2,FALSE,1,1,0.15,19
123266,1632,1.5,3,FALSE,0,0,0.23,14
101193,1375,1.5,2,TRUE,0,0,0.07,21
118949,1164,2,3,FALSE,0,1,0.52,5
255303,2242,2.5,3,FALSE,0,2,0.07,0
94405,1375,1.5,2,FALSE,0,1,0.09,22
122221,1170,1.5,4,FALSE,0,0,3,26
143768,1612,1.5,3,TRUE,0,1,0.43,37
110738,1800,1.5,3,FALSE,0,2,0.36,83
139219,2308,3,2,FALSE,0,2,0.45,5
213901,1680,2,3,TRUE,0,2,0.39,27
304045,2960,2.5,4,TRUE,0,2,0.61,8
143294,1918,2,3,TRUE,0,2,0.3,29
206688,2284,2.5,4,TRUE,1,2,0.46,17
69463,1170,1,2,FALSE,0,0,0.09,110
104412,2116,2,4,FALSE,0,2,0.05,74
194877,2066,2.5,4,TRUE,0,2,0.65,35
89893,960,1,2,FALSE,0,0,0.36,48
238951,2641,3,4,TRUE,0,3,0.39,1
216841,2472,2.5,3,TRUE,0,2,0.33,0
97739,1276,2,2,TRUE,0,0,0.17,26
105363,864,1,3,FALSE,0,1,1,128
130782,1274,1.5,3,FALSE,1,0,0.44,14
92852,912,1.5,2,FALSE,1,1,0.15,20
277828,2988,2.5,5,TRUE,1,3,0.5,9
562546,5228,4,4,TRUE,0,3,0.45,14
93200,924,1,2,TRUE,0,0,0.31,19
80130,1225,1,3,TRUE,0,1,0.24,48
138424,1673,1,3,TRUE,0,1,0.29,27
119875,1512,1.5,4,TRUE,1,0,1,61
88092,3944,1,4,TRUE,0,3,1.64,185
133155,1480,2.5,3,TRUE,0,0,0.03,16
101375,960,1,3,FALSE,1,0,0.46,19
235105,2299,2.5,4,TRUE,1,2,0.8,6
285769,3125,2.5,4,TRUE,0,2,0.53,3
156606,1756,1.5,3,TRUE,0,2,0.85,24
154798,2470,2.5,4,TRUE,1,2,0.34,26
102405,1680,2,3,FALSE,1,1,0.12,15
148203,1782,1.5,3,FALSE,0,1,0.34,36
79567,908,1,2,FALSE,0,1,0.16,19
135167,1610,2,3,FALSE,0,1,0.1,17
79116,908,1,2,FALSE,0,1,0.15,19
148967,1864,1.5,3,TRUE,0,2,4,154
134865,1676,1.5,3,TRUE,1,2,0.38,14
44674,1214,1,3,FALSE,1,0,0.14,103
105035,908,1,2,FALSE,0,0,0.17,21
95260,1480,1.5,3,TRUE,0,1,0.07,15
139418,1296,2,4,TRUE,0,0,0.38,51
240857,1445,1.5,3,TRUE,0,1,0.2,17
205073,2501,2.5,4,FALSE,0,2,0.07,0
60309,2039,1,3,FALSE,0,2,0.24,55
330219,2576,2.5,3,TRUE,0,2,0.55,31
267731,3001,2.5,5,TRUE,0,3,0.66,0
184109,1920,2.5,3,TRUE,1,2,0.16,0
107919,1056,2,2,FALSE,0,2,0.52,7
308253,2880,2.5,4,TRUE,1,3,0.66,9
232934,2116,2.5,3,TRUE,0,2,0.55,20
240952,2376,2.5,4,TRUE,0,2,0.06,10
112877,1380,1,3,FALSE,1,0,0.14,3
197956,2314,2.5,4,TRUE,0,2,NA,1
236936,2300,2.5,3,TRUE,0,2,0.07,16
129155,1260,1.5,2,TRUE,0,1,0.06,27
236215,2066,2.5,3,TRUE,0,2,0.39,2
157946,1804,2.5,3,TRUE,1,1,0.43,0
94486,1150,1,3,FALSE,1,0,0.34,45
147412,1821,2.5,3,FALSE,1,1,1,0
119389,1364,1.5,2,TRUE,0,0,0.07,20
347761,3820,4.5,4,TRUE,1,2,1.4,18
333411,3356,2.5,4,TRUE,1,3,0.34,6
106659,936,1,3,FALSE,0,0,0.4,34
136551,1880,2,3,FALSE,0,2,0.62,7
84291,1480,2.5,2,TRUE,0,1,0.07,14
126082,1592,1.5,3,TRUE,1,1,0.16,18
129723,1593,1,3,TRUE,1,1,1.8,63
235620,2107,1,2,TRUE,0,2,0.09,1
213249,1643,2.5,3,TRUE,0,2,0.41,3
136379,1486,2.5,3,FALSE,1,1,0.38,0
111264,1142,1.5,3,FALSE,0,1,0.19,18
129609,1635,1.5,4,FALSE,1,1,0.28,52
251400,2741,2.5,4,TRUE,0,2,0.26,2
271578,3123,2.5,4,TRUE,1,2,0.49,14
98333,912,1.5,2,FALSE,0,1,0.16,18
128440,1554,1.5,3,FALSE,0,0,4.87,103
154723,1944,2.5,3,FALSE,0,1,2.13,0
99311,690,1,3,FALSE,0,0,0.04,114
181140,2648,2.5,4,TRUE,0,3,0.43,0
151917,1510,2.5,3,TRUE,1,1,0.39,0
115771,1479,1.5,3,FALSE,0,1,0.06,17
232219,2541,2.5,4,TRUE,1,3,0.49,5
111875,1758,2,3,FALSE,0,1,0.3,25
93174,784,1,1,FALSE,0,1,0.16,44
133155,1334,1.5,3,FALSE,0,0,0.77,7
202800,2250,2.5,4,FALSE,1,2,0.31,2
135820,1475,2,3,TRUE,0,1,0.46,20
156820,1720,2,3,TRUE,0,2,3.8,27
148585,1734,1.5,4,TRUE,1,2,0.45,34
98652,1158,1.5,3,FALSE,0,0,0.86,14
277235,2950,2.5,4,TRUE,0,3,0.41,1
104651,912,1.5,2,TRUE,0,1,0.17,19
104556,1673,2,2,FALSE,0,1,0.15,18
244441,2396,2.5,3,TRUE,0,2,2,5
143210,1744,1.5,4,TRUE,1,2,0.57,35
178216,1512,2,3,TRUE,0,1,0.77,12
207347,2119,2.5,4,TRUE,1,2,0.9,14
85939,1527,2,2,TRUE,0,1,0.31,17
90446,1256,1.5,3,FALSE,0,0,0.21,19
202836,2068,2.5,4,TRUE,1,2,0.46,17
132088,1368,1,3,FALSE,0,0,0.24,33
111436,1380,1.5,3,FALSE,0,0,0.14,2
162612,1348,2,2,TRUE,0,0,0.36,11
171885,1536,2.5,3,TRUE,1,0,0.72,7
125562,1253,1.5,2,TRUE,0,1,0.21,16
144571,1512,1.5,3,TRUE,0,1,0.05,13
172315,2008,2.5,4,TRUE,0,2,0.32,0
120192,1404,2,3,FALSE,0,1,6.13,7
236819,2608,2.5,4,TRUE,0,3,0.58,4
312448,2919,2.5,4,TRUE,0,3,0.05,5
232894,2500,2.5,4,TRUE,1,3,0.57,0
129868,1792,2.5,2,TRUE,0,1,0.08,24
160571,1294,1.5,3,TRUE,1,0,0.32,17
193565,2350,2.5,3,TRUE,0,2,0.3,15
135526,1420,1.5,3,FALSE,1,1,0.35,13
309808,2270,2.5,3,TRUE,1,3,4.05,9
114514,1514,2,3,FALSE,0,2,0.16,17
111546,1560,1,3,FALSE,0,1,0.3,31
166019,1110,1,3,TRUE,0,1,0.06,115
87588,1392,1,2,FALSE,0,1,0.24,17
84333,2043,1.5,4,TRUE,0,2,0.32,94
161118,1887,2.5,4,TRUE,0,1,0.56,27
99903,1360,1,2,FALSE,1,1,0.44,79
163524,2516,2,3,TRUE,0,2,2.96,40
310696,2843,2.5,4,TRUE,0,3,0.71,5
137220,1290,1.5,3,TRUE,1,1,0.14,16
282373,2793,2.5,3,TRUE,0,3,NA,21
112649,1350,1.5,3,FALSE,0,1,0.46,26
216018,1216,1.5,3,FALSE,0,1,0.14,75
278936,3121,3,4,TRUE,1,2,0.62,0
139079,1248,2,3,FALSE,0,0,0.75,37
236829,2472,3.5,4,TRUE,0,3,0.31,0
145583,1376,2,3,TRUE,1,1,0.46,25
232989,2248,2.5,4,TRUE,0,2,0.58,7
97783,1061,1,3,TRUE,1,0,0.92,48
177539,1528,2.5,3,FALSE,0,1,0.46,8
189736,2588,2.5,4,TRUE,0,2,0.35,31
121973,2268,1,3,FALSE,0,2,3,25
175874,2195,2,3,TRUE,0,2,0.45,1
139079,1400,1.5,3,TRUE,0,1,1,35
154499,1886,1.5,3,TRUE,0,1,0.28,31
295426,3370,3,4,TRUE,1,2,0.11,11
326330,1326,1,3,FALSE,1,0,2,52
80540,1380,1.5,2,FALSE,0,1,0.13,0
111239,912,1.5,2,FALSE,0,1,0.16,20
159175,1512,2,3,FALSE,1,1,0.25,12
107766,1272,1,3,TRUE,0,1,0.38,43
228619,2527,2.5,4,TRUE,0,3,0.46,1
